etngrp_src,geslacht_src,lft_src,oplniv_src,etngrp_dst,geslacht_dst,lft_dst,oplniv_dst,n
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",1,14580
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",2,360
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",3,10
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",1,160
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",2,480
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",3,120
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",1,290
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",2,1040
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",3,3810
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",1,370
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",2,1760
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",3,6180
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",1,340
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",2,1390
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",3,2310
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",1,80
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",2,130
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",3,290
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",3,50
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[0,20)",1,13540
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[0,20)",2,410
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",1,210
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",2,680
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",3,240
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",1,510
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",2,1230
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",3,5890
