geslacht_src,etngrp_src,oplniv_src,geslacht_dst,etngrp_dst,oplniv_dst,n
Man,Autochtoon,1,Man,Autochtoon,1,17690
Man,Autochtoon,1,Man,Autochtoon,2,6430
Man,Autochtoon,1,Man,Autochtoon,3,13060
Man,Autochtoon,1,Man,Marokkaans,1,250
Man,Autochtoon,1,Man,Marokkaans,2,500
Man,Autochtoon,1,Man,Marokkaans,3,410
Man,Autochtoon,1,Man,Overig,1,690
Man,Autochtoon,1,Man,Overig,2,940
Man,Autochtoon,1,Man,Overig,3,2050
Man,Autochtoon,1,Man,Surinaams,1,420
Man,Autochtoon,1,Man,Surinaams,2,470
Man,Autochtoon,1,Man,Surinaams,3,320
Man,Autochtoon,1,Man,Turks,1,180
Man,Autochtoon,1,Man,Turks,2,390
Man,Autochtoon,1,Man,Turks,3,220
Man,Autochtoon,1,Vrouw,Autochtoon,1,184840
Man,Autochtoon,1,Vrouw,Autochtoon,2,60190
Man,Autochtoon,1,Vrouw,Autochtoon,3,21490
Man,Autochtoon,1,Vrouw,Marokkaans,1,250
Man,Autochtoon,1,Vrouw,Marokkaans,2,810
Man,Autochtoon,1,Vrouw,Marokkaans,3,520
Man,Autochtoon,1,Vrouw,Overig,1,32160
Man,Autochtoon,1,Vrouw,Overig,2,4210
Man,Autochtoon,1,Vrouw,Overig,3,4730
Man,Autochtoon,1,Vrouw,Surinaams,1,860
Man,Autochtoon,1,Vrouw,Surinaams,2,2560
Man,Autochtoon,1,Vrouw,Surinaams,3,660
Man,Autochtoon,1,Vrouw,Turks,1,160
Man,Autochtoon,1,Vrouw,Turks,2,450
Man,Autochtoon,1,Vrouw,Turks,3,300
Man,Autochtoon,2,Man,Autochtoon,1,6430
Man,Autochtoon,2,Man,Autochtoon,2,6660
Man,Autochtoon,2,Man,Autochtoon,3,5140
Man,Autochtoon,2,Man,Marokkaans,1,10
Man,Autochtoon,2,Man,Overig,1,920
Man,Autochtoon,2,Man,Overig,2,1210
Man,Autochtoon,2,Man,Overig,3,2250
Man,Autochtoon,2,Man,Surinaams,1,90
Man,Autochtoon,2,Man,Surinaams,2,40
Man,Autochtoon,2,Man,Surinaams,3,10
Man,Autochtoon,2,Vrouw,Autochtoon,1,134130
Man,Autochtoon,2,Vrouw,Autochtoon,2,77730
Man,Autochtoon,2,Vrouw,Autochtoon,3,26650
Man,Autochtoon,2,Vrouw,Marokkaans,2,70
Man,Autochtoon,2,Vrouw,Marokkaans,3,20
Man,Autochtoon,2,Vrouw,Overig,1,10720
Man,Autochtoon,2,Vrouw,Overig,2,17660
Man,Autochtoon,2,Vrouw,Overig,3,10090
Man,Autochtoon,2,Vrouw,Surinaams,1,800
Man,Autochtoon,2,Vrouw,Surinaams,2,720
Man,Autochtoon,2,Vrouw,Surinaams,3,1160
Man,Autochtoon,2,Vrouw,Turks,3,30
Man,Autochtoon,3,Man,Autochtoon,1,13060
Man,Autochtoon,3,Man,Autochtoon,2,5140
Man,Autochtoon,3,Man,Autochtoon,3,18250
Man,Autochtoon,3,Man,Marokkaans,1,10
Man,Autochtoon,3,Man,Marokkaans,3,10
Man,Autochtoon,3,Man,Overig,1,4680
Man,Autochtoon,3,Man,Overig,2,1590
Man,Autochtoon,3,Man,Overig,3,4050
Man,Autochtoon,3,Man,Surinaams,1,100
Man,Autochtoon,3,Man,Surinaams,2,70
Man,Autochtoon,3,Man,Surinaams,3,60
Man,Autochtoon,3,Man,Turks,1,220
Man,Autochtoon,3,Man,Turks,3,10
Man,Autochtoon,3,Vrouw,Autochtoon,1,32890
Man,Autochtoon,3,Vrouw,Autochtoon,2,38960
Man,Autochtoon,3,Vrouw,Autochtoon,3,131000
