etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",1,164200
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",2,9110
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",3,80
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",1,4380
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",2,29950
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",3,42930
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",1,4160
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",2,16010
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",3,78680
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",1,6460
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",2,21540
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",3,82910
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",1,13570
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",2,31120
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",3,60310
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",1,13460
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",2,21080
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",3,38320
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",1,14390
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",2,12450
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",3,18890
Autochtoon,"[0,20)",1,Autochtoon,"[80,120]",1,7270
Autochtoon,"[0,20)",1,Autochtoon,"[80,120]",2,7040
Autochtoon,"[0,20)",1,Autochtoon,"[80,120]",3,3990
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",1,31190
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",2,1400
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",1,2460
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",2,8250
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",3,2150
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",1,4450
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",2,6410
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",3,4430
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",1,6820
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",2,5060
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",3,2930
Autochtoon,"[0,20)",1,Marokkaans,"[50,60)",1,5390
Autochtoon,"[0,20)",1,Marokkaans,"[50,60)",2,1860
Autochtoon,"[0,20)",1,Marokkaans,"[50,60)",3,660
Autochtoon,"[0,20)",1,Marokkaans,"[60,70)",1,3860
Autochtoon,"[0,20)",1,Marokkaans,"[60,70)",2,450
Autochtoon,"[0,20)",1,Marokkaans,"[60,70)",3,190
Autochtoon,"[0,20)",1,Marokkaans,"[70,80)",1,3580
Autochtoon,"[0,20)",1,Marokkaans,"[80,120]",1,160
Autochtoon,"[0,20)",1,Overig,"[0,20)",1,90020
Autochtoon,"[0,20)",1,Overig,"[0,20)",2,4130
Autochtoon,"[0,20)",1,Overig,"[0,20)",3,80
Autochtoon,"[0,20)",1,Overig,"[20,30)",1,4490
Autochtoon,"[0,20)",1,Overig,"[20,30)",2,18540
Autochtoon,"[0,20)",1,Overig,"[20,30)",3,35810
Autochtoon,"[0,20)",1,Overig,"[30,40)",1,9430
Autochtoon,"[0,20)",1,Overig,"[30,40)",2,15550
Autochtoon,"[0,20)",1,Overig,"[30,40)",3,56760
Autochtoon,"[0,20)",1,Overig,"[40,50)",1,9870
Autochtoon,"[0,20)",1,Overig,"[40,50)",2,17280
Autochtoon,"[0,20)",1,Overig,"[40,50)",3,36130
Autochtoon,"[0,20)",1,Overig,"[50,60)",1,9630
Autochtoon,"[0,20)",1,Overig,"[50,60)",2,14890
Autochtoon,"[0,20)",1,Overig,"[50,60)",3,20760
Autochtoon,"[0,20)",1,Overig,"[60,70)",1,6220
Autochtoon,"[0,20)",1,Overig,"[60,70)",2,8650
Autochtoon,"[0,20)",1,Overig,"[60,70)",3,11570
Autochtoon,"[0,20)",1,Overig,"[70,80)",1,2490
Autochtoon,"[0,20)",1,Overig,"[70,80)",2,4370
Autochtoon,"[0,20)",1,Overig,"[70,80)",3,5030
Autochtoon,"[0,20)",1,Overig,"[80,120]",1,730
Autochtoon,"[0,20)",1,Overig,"[80,120]",2,420
Autochtoon,"[0,20)",1,Overig,"[80,120]",3,1670
Autochtoon,"[0,20)",1,Surinaams,"[0,20)",1,15830
Autochtoon,"[0,20)",1,Surinaams,"[0,20)",2,1140
Autochtoon,"[0,20)",1,Surinaams,"[20,30)",1,1960
Autochtoon,"[0,20)",1,Surinaams,"[20,30)",2,7240
Autochtoon,"[0,20)",1,Surinaams,"[20,30)",3,2080
Autochtoon,"[0,20)",1,Surinaams,"[30,40)",1,2240
Autochtoon,"[0,20)",1,Surinaams,"[30,40)",2,5350
Autochtoon,"[0,20)",1,Surinaams,"[30,40)",3,4510
Autochtoon,"[0,20)",1,Surinaams,"[40,50)",1,2790
Autochtoon,"[0,20)",1,Surinaams,"[40,50)",2,5390
Autochtoon,"[0,20)",1,Surinaams,"[40,50)",3,3820
Autochtoon,"[0,20)",1,Surinaams,"[50,60)",1,4570
Autochtoon,"[0,20)",1,Surinaams,"[50,60)",2,5690
Autochtoon,"[0,20)",1,Surinaams,"[50,60)",3,3220
Autochtoon,"[0,20)",1,Surinaams,"[60,70)",1,2850
Autochtoon,"[0,20)",1,Surinaams,"[60,70)",2,2950
Autochtoon,"[0,20)",1,Surinaams,"[60,70)",3,2300
Autochtoon,"[0,20)",1,Surinaams,"[70,80)",1,1050
Autochtoon,"[0,20)",1,Surinaams,"[70,80)",2,690
Autochtoon,"[0,20)",1,Surinaams,"[70,80)",3,500
Autochtoon,"[0,20)",1,Turks,"[0,20)",1,14680
Autochtoon,"[0,20)",1,Turks,"[0,20)",2,760
Autochtoon,"[0,20)",1,Turks,"[20,30)",1,2910
Autochtoon,"[0,20)",1,Turks,"[20,30)",2,4980
Autochtoon,"[0,20)",1,Turks,"[20,30)",3,1810
Autochtoon,"[0,20)",1,Turks,"[30,40)",1,2910
Autochtoon,"[0,20)",1,Turks,"[30,40)",2,4480
Autochtoon,"[0,20)",1,Turks,"[30,40)",3,3130
Autochtoon,"[0,20)",1,Turks,"[40,50)",1,3900
Autochtoon,"[0,20)",1,Turks,"[40,50)",2,3440
Autochtoon,"[0,20)",1,Turks,"[40,50)",3,2000
Autochtoon,"[0,20)",1,Turks,"[50,60)",1,3920
Autochtoon,"[0,20)",1,Turks,"[50,60)",2,1610
Autochtoon,"[0,20)",1,Turks,"[50,60)",3,800
Autochtoon,"[0,20)",1,Turks,"[60,70)",1,1730
Autochtoon,"[0,20)",1,Turks,"[60,70)",2,330
Autochtoon,"[0,20)",1,Turks,"[60,70)",3,220
Autochtoon,"[0,20)",1,Turks,"[70,80)",1,1800
Autochtoon,"[0,20)",2,Autochtoon,"[0,20)",1,9000
Autochtoon,"[0,20)",2,Autochtoon,"[0,20)",2,1490
Autochtoon,"[0,20)",2,Autochtoon,"[20,30)",1,310
Autochtoon,"[0,20)",2,Autochtoon,"[20,30)",2,3780
Autochtoon,"[0,20)",2,Autochtoon,"[20,30)",3,3640
Autochtoon,"[0,20)",2,Autochtoon,"[30,40)",1,270
Autochtoon,"[0,20)",2,Autochtoon,"[30,40)",2,890
Autochtoon,"[0,20)",2,Autochtoon,"[30,40)",3,4300
Autochtoon,"[0,20)",2,Autochtoon,"[40,50)",1,340
Autochtoon,"[0,20)",2,Autochtoon,"[40,50)",2,1310
Autochtoon,"[0,20)",2,Autochtoon,"[40,50)",3,4670
Autochtoon,"[0,20)",2,Autochtoon,"[50,60)",1,690
Autochtoon,"[0,20)",2,Autochtoon,"[50,60)",2,2440
Autochtoon,"[0,20)",2,Autochtoon,"[50,60)",3,4960
Autochtoon,"[0,20)",2,Autochtoon,"[60,70)",1,850
Autochtoon,"[0,20)",2,Autochtoon,"[60,70)",2,1660
Autochtoon,"[0,20)",2,Autochtoon,"[60,70)",3,3370
Autochtoon,"[0,20)",2,Autochtoon,"[70,80)",1,910
Autochtoon,"[0,20)",2,Autochtoon,"[70,80)",2,870
Autochtoon,"[0,20)",2,Autochtoon,"[70,80)",3,1360
Autochtoon,"[0,20)",2,Marokkaans,"[0,20)",1,1190
Autochtoon,"[0,20)",2,Marokkaans,"[0,20)",2,80
Autochtoon,"[0,20)",2,Marokkaans,"[20,30)",1,120
Autochtoon,"[0,20)",2,Marokkaans,"[20,30)",2,360
Autochtoon,"[0,20)",2,Marokkaans,"[20,30)",3,100
Autochtoon,"[0,20)",2,Marokkaans,"[30,40)",1,140
Autochtoon,"[0,20)",2,Marokkaans,"[30,40)",2,200
Autochtoon,"[0,20)",2,Marokkaans,"[30,40)",3,170
Autochtoon,"[0,20)",2,Marokkaans,"[40,50)",1,220
Autochtoon,"[0,20)",2,Marokkaans,"[40,50)",2,200
Autochtoon,"[0,20)",2,Marokkaans,"[40,50)",3,90
Autochtoon,"[0,20)",2,Marokkaans,"[50,60)",1,160
Autochtoon,"[0,20)",2,Marokkaans,"[50,60)",2,160
Autochtoon,"[0,20)",2,Marokkaans,"[50,60)",3,10
Autochtoon,"[0,20)",2,Marokkaans,"[60,70)",1,150
Autochtoon,"[0,20)",2,Marokkaans,"[70,80)",1,40
Autochtoon,"[0,20)",2,Overig,"[0,20)",1,6110
Autochtoon,"[0,20)",2,Overig,"[0,20)",2,590
Autochtoon,"[0,20)",2,Overig,"[20,30)",1,310
Autochtoon,"[0,20)",2,Overig,"[20,30)",2,2080
Autochtoon,"[0,20)",2,Overig,"[20,30)",3,10170
Autochtoon,"[0,20)",2,Overig,"[30,40)",1,380
Autochtoon,"[0,20)",2,Overig,"[30,40)",2,560
Autochtoon,"[0,20)",2,Overig,"[30,40)",3,2460
Autochtoon,"[0,20)",2,Overig,"[40,50)",1,320
Autochtoon,"[0,20)",2,Overig,"[40,50)",2,970
Autochtoon,"[0,20)",2,Overig,"[40,50)",3,2520
Autochtoon,"[0,20)",2,Overig,"[50,60)",1,530
Autochtoon,"[0,20)",2,Overig,"[50,60)",2,820
Autochtoon,"[0,20)",2,Overig,"[50,60)",3,1610
Autochtoon,"[0,20)",2,Overig,"[60,70)",1,370
Autochtoon,"[0,20)",2,Overig,"[60,70)",2,540
Autochtoon,"[0,20)",2,Overig,"[60,70)",3,960
Autochtoon,"[0,20)",2,Overig,"[70,80)",1,80
Autochtoon,"[0,20)",2,Overig,"[70,80)",2,90
Autochtoon,"[0,20)",2,Overig,"[70,80)",3,440
Autochtoon,"[0,20)",2,Surinaams,"[0,20)",1,730
Autochtoon,"[0,20)",2,Surinaams,"[0,20)",2,100
Autochtoon,"[0,20)",2,Surinaams,"[20,30)",1,100
Autochtoon,"[0,20)",2,Surinaams,"[20,30)",2,490
Autochtoon,"[0,20)",2,Surinaams,"[20,30)",3,160
Autochtoon,"[0,20)",2,Surinaams,"[30,40)",1,90
Autochtoon,"[0,20)",2,Surinaams,"[30,40)",2,260
Autochtoon,"[0,20)",2,Surinaams,"[30,40)",3,210
Autochtoon,"[0,20)",2,Surinaams,"[40,50)",1,130
Autochtoon,"[0,20)",2,Surinaams,"[40,50)",2,220
Autochtoon,"[0,20)",2,Surinaams,"[40,50)",3,270
Autochtoon,"[0,20)",2,Surinaams,"[50,60)",1,250
Autochtoon,"[0,20)",2,Surinaams,"[50,60)",2,420
Autochtoon,"[0,20)",2,Surinaams,"[50,60)",3,200
Autochtoon,"[0,20)",2,Surinaams,"[60,70)",1,90
Autochtoon,"[0,20)",2,Surinaams,"[60,70)",2,180
Autochtoon,"[0,20)",2,Surinaams,"[60,70)",3,250
Autochtoon,"[0,20)",2,Turks,"[0,20)",1,970
Autochtoon,"[0,20)",2,Turks,"[0,20)",2,20
Autochtoon,"[0,20)",2,Turks,"[20,30)",1,50
Autochtoon,"[0,20)",2,Turks,"[20,30)",2,280
Autochtoon,"[0,20)",2,Turks,"[20,30)",3,90
Autochtoon,"[0,20)",2,Turks,"[30,40)",1,130
Autochtoon,"[0,20)",2,Turks,"[30,40)",2,150
Autochtoon,"[0,20)",2,Turks,"[30,40)",3,400
Autochtoon,"[0,20)",2,Turks,"[40,50)",1,130
Autochtoon,"[0,20)",2,Turks,"[40,50)",2,120
Autochtoon,"[0,20)",2,Turks,"[40,50)",3,100
Autochtoon,"[0,20)",2,Turks,"[50,60)",1,270
Autochtoon,"[0,20)",2,Turks,"[50,60)",2,110
Autochtoon,"[0,20)",2,Turks,"[50,60)",3,40
Autochtoon,"[0,20)",2,Turks,"[60,70)",1,20
Autochtoon,"[0,20)",3,Autochtoon,"[0,20)",1,100
Autochtoon,"[0,20)",3,Autochtoon,"[20,30)",2,10
Autochtoon,"[0,20)",3,Autochtoon,"[20,30)",3,20
Autochtoon,"[0,20)",3,Autochtoon,"[30,40)",3,20
Autochtoon,"[0,20)",3,Autochtoon,"[40,50)",3,50
Autochtoon,"[0,20)",3,Autochtoon,"[50,60)",3,70
Autochtoon,"[0,20)",3,Overig,"[0,20)",1,30
Autochtoon,"[20,30)",1,Autochtoon,"[0,20)",1,4310
Autochtoon,"[20,30)",1,Autochtoon,"[0,20)",2,300
Autochtoon,"[20,30)",1,Autochtoon,"[20,30)",1,520
Autochtoon,"[20,30)",1,Autochtoon,"[20,30)",2,2200
Autochtoon,"[20,30)",1,Autochtoon,"[20,30)",3,2660
Autochtoon,"[20,30)",1,Autochtoon,"[30,40)",1,340
Autochtoon,"[20,30)",1,Autochtoon,"[30,40)",2,820
Autochtoon,"[20,30)",1,Autochtoon,"[30,40)",3,2760
Autochtoon,"[20,30)",1,Autochtoon,"[40,50)",1,410
Autochtoon,"[20,30)",1,Autochtoon,"[40,50)",2,800
Autochtoon,"[20,30)",1,Autochtoon,"[40,50)",3,1830
Autochtoon,"[20,30)",1,Autochtoon,"[50,60)",1,980
Autochtoon,"[20,30)",1,Autochtoon,"[50,60)",2,1560
Autochtoon,"[20,30)",1,Autochtoon,"[50,60)",3,1640
Autochtoon,"[20,30)",1,Autochtoon,"[60,70)",1,940
Autochtoon,"[20,30)",1,Autochtoon,"[60,70)",2,1030
Autochtoon,"[20,30)",1,Autochtoon,"[60,70)",3,1330
Autochtoon,"[20,30)",1,Autochtoon,"[70,80)",1,910
Autochtoon,"[20,30)",1,Autochtoon,"[70,80)",2,470
Autochtoon,"[20,30)",1,Autochtoon,"[70,80)",3,400
Autochtoon,"[20,30)",1,Marokkaans,"[0,20)",1,1590
Autochtoon,"[20,30)",1,Marokkaans,"[0,20)",2,70
Autochtoon,"[20,30)",1,Marokkaans,"[20,30)",1,220
Autochtoon,"[20,30)",1,Marokkaans,"[20,30)",2,910
Autochtoon,"[20,30)",1,Marokkaans,"[20,30)",3,150
Autochtoon,"[20,30)",1,Marokkaans,"[30,40)",1,360
Autochtoon,"[20,30)",1,Marokkaans,"[30,40)",2,320
Autochtoon,"[20,30)",1,Marokkaans,"[30,40)",3,210
Autochtoon,"[20,30)",1,Marokkaans,"[40,50)",1,300
Autochtoon,"[20,30)",1,Marokkaans,"[40,50)",2,250
Autochtoon,"[20,30)",1,Marokkaans,"[40,50)",3,100
Autochtoon,"[20,30)",1,Marokkaans,"[50,60)",1,420
Autochtoon,"[20,30)",1,Marokkaans,"[50,60)",2,30
Autochtoon,"[20,30)",1,Marokkaans,"[50,60)",3,10
Autochtoon,"[20,30)",1,Marokkaans,"[60,70)",1,180
Autochtoon,"[20,30)",1,Marokkaans,"[70,80)",1,40
Autochtoon,"[20,30)",1,Overig,"[0,20)",1,3190
Autochtoon,"[20,30)",1,Overig,"[0,20)",2,170
Autochtoon,"[20,30)",1,Overig,"[20,30)",1,440
Autochtoon,"[20,30)",1,Overig,"[20,30)",2,1140
Autochtoon,"[20,30)",1,Overig,"[20,30)",3,1120
Autochtoon,"[20,30)",1,Overig,"[30,40)",1,510
Autochtoon,"[20,30)",1,Overig,"[30,40)",2,600
Autochtoon,"[20,30)",1,Overig,"[30,40)",3,1860
Autochtoon,"[20,30)",1,Overig,"[40,50)",1,520
Autochtoon,"[20,30)",1,Overig,"[40,50)",2,740
Autochtoon,"[20,30)",1,Overig,"[40,50)",3,760
Autochtoon,"[20,30)",1,Overig,"[50,60)",1,540
Autochtoon,"[20,30)",1,Overig,"[50,60)",2,600
Autochtoon,"[20,30)",1,Overig,"[50,60)",3,700
Autochtoon,"[20,30)",1,Overig,"[60,70)",1,430
Autochtoon,"[20,30)",1,Overig,"[60,70)",2,370
Autochtoon,"[20,30)",1,Overig,"[60,70)",3,370
Autochtoon,"[20,30)",1,Overig,"[70,80)",1,140
Autochtoon,"[20,30)",1,Overig,"[70,80)",2,150
Autochtoon,"[20,30)",1,Overig,"[70,80)",3,20
Autochtoon,"[20,30)",1,Surinaams,"[0,20)",1,840
Autochtoon,"[20,30)",1,Surinaams,"[0,20)",2,30
Autochtoon,"[20,30)",1,Surinaams,"[20,30)",1,230
Autochtoon,"[20,30)",1,Surinaams,"[20,30)",2,550
Autochtoon,"[20,30)",1,Surinaams,"[20,30)",3,130
Autochtoon,"[20,30)",1,Surinaams,"[30,40)",1,150
Autochtoon,"[20,30)",1,Surinaams,"[30,40)",2,330
Autochtoon,"[20,30)",1,Surinaams,"[30,40)",3,180
Autochtoon,"[20,30)",1,Surinaams,"[40,50)",1,170
Autochtoon,"[20,30)",1,Surinaams,"[40,50)",2,280
Autochtoon,"[20,30)",1,Surinaams,"[40,50)",3,150
Autochtoon,"[20,30)",1,Surinaams,"[50,60)",1,240
Autochtoon,"[20,30)",1,Surinaams,"[50,60)",2,410
Autochtoon,"[20,30)",1,Surinaams,"[50,60)",3,160
Autochtoon,"[20,30)",1,Surinaams,"[60,70)",1,170
Autochtoon,"[20,30)",1,Surinaams,"[60,70)",2,260
Autochtoon,"[20,30)",1,Surinaams,"[60,70)",3,60
Autochtoon,"[20,30)",1,Turks,"[0,20)",1,700
Autochtoon,"[20,30)",1,Turks,"[0,20)",2,10
Autochtoon,"[20,30)",1,Turks,"[20,30)",1,120
Autochtoon,"[20,30)",1,Turks,"[20,30)",2,270
Autochtoon,"[20,30)",1,Turks,"[20,30)",3,60
Autochtoon,"[20,30)",1,Turks,"[30,40)",1,160
Autochtoon,"[20,30)",1,Turks,"[30,40)",2,250
Autochtoon,"[20,30)",1,Turks,"[30,40)",3,110
Autochtoon,"[20,30)",1,Turks,"[40,50)",1,230
Autochtoon,"[20,30)",1,Turks,"[40,50)",2,110
Autochtoon,"[20,30)",1,Turks,"[40,50)",3,40
Autochtoon,"[20,30)",1,Turks,"[50,60)",1,360
Autochtoon,"[20,30)",1,Turks,"[50,60)",2,80
Autochtoon,"[20,30)",1,Turks,"[60,70)",1,50
Autochtoon,"[20,30)",2,Autochtoon,"[0,20)",1,28930
Autochtoon,"[20,30)",2,Autochtoon,"[0,20)",2,3700
Autochtoon,"[20,30)",2,Autochtoon,"[20,30)",1,2190
Autochtoon,"[20,30)",2,Autochtoon,"[20,30)",2,32010
Autochtoon,"[20,30)",2,Autochtoon,"[20,30)",3,40850
Autochtoon,"[20,30)",2,Autochtoon,"[30,40)",1,1540
Autochtoon,"[20,30)",2,Autochtoon,"[30,40)",2,6380
Autochtoon,"[20,30)",2,Autochtoon,"[30,40)",3,26110
Autochtoon,"[20,30)",2,Autochtoon,"[40,50)",1,1820
Autochtoon,"[20,30)",2,Autochtoon,"[40,50)",2,5840
Autochtoon,"[20,30)",2,Autochtoon,"[40,50)",3,15690
Autochtoon,"[20,30)",2,Autochtoon,"[50,60)",1,4270
Autochtoon,"[20,30)",2,Autochtoon,"[50,60)",2,9050
Autochtoon,"[20,30)",2,Autochtoon,"[50,60)",3,13920
Autochtoon,"[20,30)",2,Autochtoon,"[60,70)",1,4740
Autochtoon,"[20,30)",2,Autochtoon,"[60,70)",2,6380
Autochtoon,"[20,30)",2,Autochtoon,"[60,70)",3,10120
Autochtoon,"[20,30)",2,Autochtoon,"[70,80)",1,4090
Autochtoon,"[20,30)",2,Autochtoon,"[70,80)",2,3440
Autochtoon,"[20,30)",2,Autochtoon,"[70,80)",3,4550
Autochtoon,"[20,30)",2,Autochtoon,"[80,120]",1,2660
Autochtoon,"[20,30)",2,Autochtoon,"[80,120]",2,2000
Autochtoon,"[20,30)",2,Autochtoon,"[80,120]",3,1320
Autochtoon,"[20,30)",2,Marokkaans,"[0,20)",1,7300
Autochtoon,"[20,30)",2,Marokkaans,"[0,20)",2,360
Autochtoon,"[20,30)",2,Marokkaans,"[20,30)",1,790
Autochtoon,"[20,30)",2,Marokkaans,"[20,30)",2,3440
Autochtoon,"[20,30)",2,Marokkaans,"[20,30)",3,880
Autochtoon,"[20,30)",2,Marokkaans,"[30,40)",1,1320
Autochtoon,"[20,30)",2,Marokkaans,"[30,40)",2,1980
Autochtoon,"[20,30)",2,Marokkaans,"[30,40)",3,1130
Autochtoon,"[20,30)",2,Marokkaans,"[40,50)",1,1560
Autochtoon,"[20,30)",2,Marokkaans,"[40,50)",2,1230
Autochtoon,"[20,30)",2,Marokkaans,"[40,50)",3,740
Autochtoon,"[20,30)",2,Marokkaans,"[50,60)",1,1430
Autochtoon,"[20,30)",2,Marokkaans,"[50,60)",2,510
Autochtoon,"[20,30)",2,Marokkaans,"[50,60)",3,190
Autochtoon,"[20,30)",2,Marokkaans,"[60,70)",1,1330
Autochtoon,"[20,30)",2,Marokkaans,"[60,70)",2,160
Autochtoon,"[20,30)",2,Marokkaans,"[60,70)",3,40
Autochtoon,"[20,30)",2,Marokkaans,"[70,80)",1,420
Autochtoon,"[20,30)",2,Marokkaans,"[80,120]",1,100
Autochtoon,"[20,30)",2,Overig,"[0,20)",1,20760
Autochtoon,"[20,30)",2,Overig,"[0,20)",2,2010
Autochtoon,"[20,30)",2,Overig,"[20,30)",1,2160
Autochtoon,"[20,30)",2,Overig,"[20,30)",2,14300
Autochtoon,"[20,30)",2,Overig,"[20,30)",3,16720
Autochtoon,"[20,30)",2,Overig,"[30,40)",1,4280
Autochtoon,"[20,30)",2,Overig,"[30,40)",2,7430
Autochtoon,"[20,30)",2,Overig,"[30,40)",3,23250
Autochtoon,"[20,30)",2,Overig,"[40,50)",1,3170
Autochtoon,"[20,30)",2,Overig,"[40,50)",2,4340
Autochtoon,"[20,30)",2,Overig,"[40,50)",3,8590
Autochtoon,"[20,30)",2,Overig,"[50,60)",1,2870
Autochtoon,"[20,30)",2,Overig,"[50,60)",2,5160
Autochtoon,"[20,30)",2,Overig,"[50,60)",3,5480
Autochtoon,"[20,30)",2,Overig,"[60,70)",1,2360
Autochtoon,"[20,30)",2,Overig,"[60,70)",2,2520
Autochtoon,"[20,30)",2,Overig,"[60,70)",3,3120
Autochtoon,"[20,30)",2,Overig,"[70,80)",1,1190
Autochtoon,"[20,30)",2,Overig,"[70,80)",2,1580
Autochtoon,"[20,30)",2,Overig,"[70,80)",3,1390
Autochtoon,"[20,30)",2,Surinaams,"[0,20)",1,3590
Autochtoon,"[20,30)",2,Surinaams,"[0,20)",2,330
Autochtoon,"[20,30)",2,Surinaams,"[20,30)",1,770
Autochtoon,"[20,30)",2,Surinaams,"[20,30)",2,3510
Autochtoon,"[20,30)",2,Surinaams,"[20,30)",3,1290
Autochtoon,"[20,30)",2,Surinaams,"[30,40)",1,640
Autochtoon,"[20,30)",2,Surinaams,"[30,40)",2,1770
Autochtoon,"[20,30)",2,Surinaams,"[30,40)",3,1330
Autochtoon,"[20,30)",2,Surinaams,"[40,50)",1,1000
Autochtoon,"[20,30)",2,Surinaams,"[40,50)",2,1420
Autochtoon,"[20,30)",2,Surinaams,"[40,50)",3,840
Autochtoon,"[20,30)",2,Surinaams,"[50,60)",1,1290
Autochtoon,"[20,30)",2,Surinaams,"[50,60)",2,1760
Autochtoon,"[20,30)",2,Surinaams,"[50,60)",3,740
Autochtoon,"[20,30)",2,Surinaams,"[60,70)",1,910
Autochtoon,"[20,30)",2,Surinaams,"[60,70)",2,930
Autochtoon,"[20,30)",2,Surinaams,"[60,70)",3,690
Autochtoon,"[20,30)",2,Surinaams,"[70,80)",1,220
Autochtoon,"[20,30)",2,Surinaams,"[70,80)",2,220
Autochtoon,"[20,30)",2,Surinaams,"[70,80)",3,60
Autochtoon,"[20,30)",2,Surinaams,"[80,120]",1,350
Autochtoon,"[20,30)",2,Turks,"[0,20)",1,3760
Autochtoon,"[20,30)",2,Turks,"[0,20)",2,190
Autochtoon,"[20,30)",2,Turks,"[20,30)",1,420
Autochtoon,"[20,30)",2,Turks,"[20,30)",2,1910
Autochtoon,"[20,30)",2,Turks,"[20,30)",3,740
Autochtoon,"[20,30)",2,Turks,"[30,40)",1,790
Autochtoon,"[20,30)",2,Turks,"[30,40)",2,1190
Autochtoon,"[20,30)",2,Turks,"[30,40)",3,1750
Autochtoon,"[20,30)",2,Turks,"[40,50)",1,1280
Autochtoon,"[20,30)",2,Turks,"[40,50)",2,640
Autochtoon,"[20,30)",2,Turks,"[40,50)",3,370
Autochtoon,"[20,30)",2,Turks,"[50,60)",1,1020
Autochtoon,"[20,30)",2,Turks,"[50,60)",2,510
Autochtoon,"[20,30)",2,Turks,"[50,60)",3,160
Autochtoon,"[20,30)",2,Turks,"[60,70)",1,530
Autochtoon,"[20,30)",2,Turks,"[60,70)",3,10
Autochtoon,"[20,30)",2,Turks,"[70,80)",1,280
Autochtoon,"[20,30)",3,Autochtoon,"[0,20)",1,39880
Autochtoon,"[20,30)",3,Autochtoon,"[0,20)",2,3400
Autochtoon,"[20,30)",3,Autochtoon,"[0,20)",3,10
Autochtoon,"[20,30)",3,Autochtoon,"[20,30)",1,2550
Autochtoon,"[20,30)",3,Autochtoon,"[20,30)",2,40600
Autochtoon,"[20,30)",3,Autochtoon,"[20,30)",3,101080
Autochtoon,"[20,30)",3,Autochtoon,"[30,40)",1,1980
Autochtoon,"[20,30)",3,Autochtoon,"[30,40)",2,11790
Autochtoon,"[20,30)",3,Autochtoon,"[30,40)",3,64080
Autochtoon,"[20,30)",3,Autochtoon,"[40,50)",1,2730
Autochtoon,"[20,30)",3,Autochtoon,"[40,50)",2,9460
Autochtoon,"[20,30)",3,Autochtoon,"[40,50)",3,26800
Autochtoon,"[20,30)",3,Autochtoon,"[50,60)",1,4970
Autochtoon,"[20,30)",3,Autochtoon,"[50,60)",2,10930
Autochtoon,"[20,30)",3,Autochtoon,"[50,60)",3,20250
Autochtoon,"[20,30)",3,Autochtoon,"[60,70)",1,5030
Autochtoon,"[20,30)",3,Autochtoon,"[60,70)",2,8920
Autochtoon,"[20,30)",3,Autochtoon,"[60,70)",3,13820
