lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[0,20)",Autochtoon,"[0,20)",Autochtoon,183980
"[0,20)",Autochtoon,"[0,20)",Marokkaans,33860
"[0,20)",Autochtoon,"[0,20)",Overig,100960
"[0,20)",Autochtoon,"[0,20)",Surinaams,17800
"[0,20)",Autochtoon,"[0,20)",Turks,16430
"[0,20)",Autochtoon,"[20,30)",Autochtoon,85020
"[0,20)",Autochtoon,"[20,30)",Marokkaans,13440
"[0,20)",Autochtoon,"[20,30)",Overig,71400
"[0,20)",Autochtoon,"[20,30)",Surinaams,12030
"[0,20)",Autochtoon,"[20,30)",Turks,10120
"[0,20)",Autochtoon,"[30,40)",Autochtoon,104330
"[0,20)",Autochtoon,"[30,40)",Marokkaans,15800
"[0,20)",Autochtoon,"[30,40)",Overig,85140
"[0,20)",Autochtoon,"[30,40)",Surinaams,12660
"[0,20)",Autochtoon,"[30,40)",Turks,11200
"[0,20)",Autochtoon,"[40,50)",Autochtoon,117280
"[0,20)",Autochtoon,"[40,50)",Marokkaans,15320
"[0,20)",Autochtoon,"[40,50)",Overig,67090
"[0,20)",Autochtoon,"[40,50)",Surinaams,12620
"[0,20)",Autochtoon,"[40,50)",Turks,9690
"[0,20)",Autochtoon,"[50,60)",Autochtoon,113160
"[0,20)",Autochtoon,"[50,60)",Marokkaans,8240
"[0,20)",Autochtoon,"[50,60)",Overig,48240
"[0,20)",Autochtoon,"[50,60)",Surinaams,14350
"[0,20)",Autochtoon,"[50,60)",Turks,6750
"[0,20)",Autochtoon,"[60,70)",Autochtoon,78740
"[0,20)",Autochtoon,"[60,70)",Marokkaans,4650
"[0,20)",Autochtoon,"[60,70)",Overig,28310
"[0,20)",Autochtoon,"[60,70)",Surinaams,8620
"[0,20)",Autochtoon,"[60,70)",Turks,2300
"[0,20)",Autochtoon,"[70,80)",Autochtoon,48870
"[0,20)",Autochtoon,"[70,80)",Marokkaans,3620
"[0,20)",Autochtoon,"[70,80)",Overig,12500
"[0,20)",Autochtoon,"[70,80)",Surinaams,2240
"[0,20)",Autochtoon,"[70,80)",Turks,1800
"[0,20)",Autochtoon,"[80,120]",Autochtoon,18300
"[0,20)",Autochtoon,"[80,120]",Marokkaans,160
"[0,20)",Autochtoon,"[80,120]",Overig,2820
"[0,20)",Marokkaans,"[0,20)",Autochtoon,33310
"[0,20)",Marokkaans,"[0,20)",Marokkaans,73550
"[0,20)",Marokkaans,"[0,20)",Overig,36930
"[0,20)",Marokkaans,"[0,20)",Surinaams,9830
"[0,20)",Marokkaans,"[0,20)",Turks,26390
"[0,20)",Marokkaans,"[20,30)",Autochtoon,19500
"[0,20)",Marokkaans,"[20,30)",Marokkaans,31080
"[0,20)",Marokkaans,"[20,30)",Overig,19280
"[0,20)",Marokkaans,"[20,30)",Surinaams,7250
"[0,20)",Marokkaans,"[20,30)",Turks,14020
"[0,20)",Marokkaans,"[30,40)",Autochtoon,18500
"[0,20)",Marokkaans,"[30,40)",Marokkaans,26930
"[0,20)",Marokkaans,"[30,40)",Overig,25550
"[0,20)",Marokkaans,"[30,40)",Surinaams,7100
"[0,20)",Marokkaans,"[30,40)",Turks,12550
"[0,20)",Marokkaans,"[40,50)",Autochtoon,15760
"[0,20)",Marokkaans,"[40,50)",Marokkaans,28180
"[0,20)",Marokkaans,"[40,50)",Overig,19950
"[0,20)",Marokkaans,"[40,50)",Surinaams,5960
"[0,20)",Marokkaans,"[40,50)",Turks,12670
"[0,20)",Marokkaans,"[50,60)",Autochtoon,19130
"[0,20)",Marokkaans,"[50,60)",Marokkaans,18280
"[0,20)",Marokkaans,"[50,60)",Overig,17230
"[0,20)",Marokkaans,"[50,60)",Surinaams,7560
"[0,20)",Marokkaans,"[50,60)",Turks,9430
"[0,20)",Marokkaans,"[60,70)",Autochtoon,15060
"[0,20)",Marokkaans,"[60,70)",Marokkaans,8650
"[0,20)",Marokkaans,"[60,70)",Overig,10350
"[0,20)",Marokkaans,"[60,70)",Surinaams,5320
"[0,20)",Marokkaans,"[60,70)",Turks,4650
"[0,20)",Marokkaans,"[70,80)",Autochtoon,10800
"[0,20)",Marokkaans,"[70,80)",Marokkaans,5460
"[0,20)",Marokkaans,"[70,80)",Overig,4800
"[0,20)",Marokkaans,"[70,80)",Surinaams,2020
"[0,20)",Marokkaans,"[70,80)",Turks,3130
"[0,20)",Marokkaans,"[80,120]",Autochtoon,6440
"[0,20)",Marokkaans,"[80,120]",Marokkaans,840
"[0,20)",Marokkaans,"[80,120]",Overig,720
"[0,20)",Overig,"[0,20)",Autochtoon,98620
"[0,20)",Overig,"[0,20)",Marokkaans,36990
"[0,20)",Overig,"[0,20)",Overig,98810
"[0,20)",Overig,"[0,20)",Surinaams,23190
"[0,20)",Overig,"[0,20)",Turks,16870
"[0,20)",Overig,"[20,30)",Autochtoon,61480
"[0,20)",Overig,"[20,30)",Marokkaans,21440
"[0,20)",Overig,"[20,30)",Overig,59010
"[0,20)",Overig,"[20,30)",Surinaams,14670
"[0,20)",Overig,"[20,30)",Turks,11830
"[0,20)",Overig,"[30,40)",Autochtoon,60910
"[0,20)",Overig,"[30,40)",Marokkaans,16410
"[0,20)",Overig,"[30,40)",Overig,79900
"[0,20)",Overig,"[30,40)",Surinaams,14940
"[0,20)",Overig,"[30,40)",Turks,10050
"[0,20)",Overig,"[40,50)",Autochtoon,64780
"[0,20)",Overig,"[40,50)",Marokkaans,17720
"[0,20)",Overig,"[40,50)",Overig,54040
"[0,20)",Overig,"[40,50)",Surinaams,13710
"[0,20)",Overig,"[40,50)",Turks,9140
"[0,20)",Overig,"[50,60)",Autochtoon,74850
"[0,20)",Overig,"[50,60)",Marokkaans,9810
"[0,20)",Overig,"[50,60)",Overig,42940
"[0,20)",Overig,"[50,60)",Surinaams,16540
"[0,20)",Overig,"[50,60)",Turks,5680
"[0,20)",Overig,"[60,70)",Autochtoon,52080
"[0,20)",Overig,"[60,70)",Marokkaans,5100
"[0,20)",Overig,"[60,70)",Overig,24170
"[0,20)",Overig,"[60,70)",Surinaams,11450
"[0,20)",Overig,"[60,70)",Turks,2230
"[0,20)",Overig,"[70,80)",Autochtoon,36330
"[0,20)",Overig,"[70,80)",Marokkaans,2620
"[0,20)",Overig,"[70,80)",Overig,14370
"[0,20)",Overig,"[70,80)",Surinaams,4630
"[0,20)",Overig,"[70,80)",Turks,1780
"[0,20)",Overig,"[80,120]",Autochtoon,13880
"[0,20)",Overig,"[80,120]",Marokkaans,50
"[0,20)",Overig,"[80,120]",Overig,1580
"[0,20)",Overig,"[80,120]",Surinaams,350
"[0,20)",Surinaams,"[0,20)",Autochtoon,17940
"[0,20)",Surinaams,"[0,20)",Marokkaans,9950
"[0,20)",Surinaams,"[0,20)",Overig,23110
"[0,20)",Surinaams,"[0,20)",Surinaams,12830
"[0,20)",Surinaams,"[0,20)",Turks,3840
"[0,20)",Surinaams,"[20,30)",Autochtoon,8800
"[0,20)",Surinaams,"[20,30)",Marokkaans,3580
"[0,20)",Surinaams,"[20,30)",Overig,12520
"[0,20)",Surinaams,"[20,30)",Surinaams,7640
"[0,20)",Surinaams,"[20,30)",Turks,2080
"[0,20)",Surinaams,"[30,40)",Autochtoon,8560
"[0,20)",Surinaams,"[30,40)",Marokkaans,3900
"[0,20)",Surinaams,"[30,40)",Overig,16260
"[0,20)",Surinaams,"[30,40)",Surinaams,7740
"[0,20)",Surinaams,"[30,40)",Turks,2110
"[0,20)",Surinaams,"[40,50)",Autochtoon,9130
"[0,20)",Surinaams,"[40,50)",Marokkaans,4370
"[0,20)",Surinaams,"[40,50)",Overig,10850
"[0,20)",Surinaams,"[40,50)",Surinaams,7950
"[0,20)",Surinaams,"[40,50)",Turks,1880
"[0,20)",Surinaams,"[50,60)",Autochtoon,9380
"[0,20)",Surinaams,"[50,60)",Marokkaans,2440
"[0,20)",Surinaams,"[50,60)",Overig,9970
"[0,20)",Surinaams,"[50,60)",Surinaams,7790
"[0,20)",Surinaams,"[50,60)",Turks,1680
"[0,20)",Surinaams,"[60,70)",Autochtoon,8630
"[0,20)",Surinaams,"[60,70)",Marokkaans,1050
"[0,20)",Surinaams,"[60,70)",Overig,5330
"[0,20)",Surinaams,"[60,70)",Surinaams,4260
"[0,20)",Surinaams,"[60,70)",Turks,340
"[0,20)",Surinaams,"[70,80)",Autochtoon,4490
"[0,20)",Surinaams,"[70,80)",Marokkaans,860
"[0,20)",Surinaams,"[70,80)",Overig,2060
"[0,20)",Surinaams,"[70,80)",Surinaams,1350
"[0,20)",Surinaams,"[70,80)",Turks,30
"[0,20)",Surinaams,"[80,120]",Autochtoon,2070
"[0,20)",Turks,"[0,20)",Autochtoon,15980
"[0,20)",Turks,"[0,20)",Marokkaans,26160
"[0,20)",Turks,"[0,20)",Overig,16880
"[0,20)",Turks,"[0,20)",Surinaams,3830
"[0,20)",Turks,"[0,20)",Turks,14090
"[0,20)",Turks,"[20,30)",Autochtoon,9590
"[0,20)",Turks,"[20,30)",Marokkaans,9010
"[0,20)",Turks,"[20,30)",Overig,13740
"[0,20)",Turks,"[20,30)",Surinaams,3090
"[0,20)",Turks,"[20,30)",Turks,9800
"[0,20)",Turks,"[30,40)",Autochtoon,8430
"[0,20)",Turks,"[30,40)",Marokkaans,9540
"[0,20)",Turks,"[30,40)",Overig,20930
"[0,20)",Turks,"[30,40)",Surinaams,3250
"[0,20)",Turks,"[30,40)",Turks,7730
"[0,20)",Turks,"[40,50)",Autochtoon,7830
"[0,20)",Turks,"[40,50)",Marokkaans,11550
"[0,20)",Turks,"[40,50)",Overig,8530
"[0,20)",Turks,"[40,50)",Surinaams,2430
"[0,20)",Turks,"[40,50)",Turks,8140
"[0,20)",Turks,"[50,60)",Autochtoon,10740
"[0,20)",Turks,"[50,60)",Marokkaans,6770
"[0,20)",Turks,"[50,60)",Overig,7490
"[0,20)",Turks,"[50,60)",Surinaams,3420
"[0,20)",Turks,"[50,60)",Turks,4630
"[0,20)",Turks,"[60,70)",Autochtoon,8010
"[0,20)",Turks,"[60,70)",Marokkaans,3510
"[0,20)",Turks,"[60,70)",Overig,4490
"[0,20)",Turks,"[60,70)",Surinaams,2160
"[0,20)",Turks,"[60,70)",Turks,1980
"[0,20)",Turks,"[70,80)",Autochtoon,6240
"[0,20)",Turks,"[70,80)",Marokkaans,2350
"[0,20)",Turks,"[70,80)",Overig,2270
"[0,20)",Turks,"[70,80)",Surinaams,250
"[0,20)",Turks,"[70,80)",Turks,880
"[0,20)",Turks,"[80,120]",Autochtoon,300
"[20,30)",Autochtoon,"[0,20)",Autochtoon,80530
"[20,30)",Autochtoon,"[0,20)",Marokkaans,18590
"[20,30)",Autochtoon,"[0,20)",Overig,56330
"[20,30)",Autochtoon,"[0,20)",Surinaams,8440
"[20,30)",Autochtoon,"[0,20)",Turks,9510
"[20,30)",Autochtoon,"[20,30)",Autochtoon,224660
"[20,30)",Autochtoon,"[20,30)",Marokkaans,12240
"[20,30)",Autochtoon,"[20,30)",Overig,101150
"[20,30)",Autochtoon,"[20,30)",Surinaams,12890
