etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[0,20)",274040
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[20,30)",19770
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[30,40)",4490
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[40,50)",2260
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[50,60)",2440
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[60,70)",860
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[70,80)",30
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",259850
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",19960
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",4190
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",2420
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",2480
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",710
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",10
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[0,20)",60910
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[20,30)",3850
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[30,40)",940
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[40,50)",370
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[50,60)",260
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[60,70)",40
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",56230
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",4010
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",670
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",310
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",20
Autochtoon,Man,"[0,20)",Overig,Man,"[0,20)",157910
Autochtoon,Man,"[0,20)",Overig,Man,"[20,30)",16600
Autochtoon,Man,"[0,20)",Overig,Man,"[30,40)",6280
Autochtoon,Man,"[0,20)",Overig,Man,"[40,50)",1640
Autochtoon,Man,"[0,20)",Overig,Man,"[50,60)",1070
Autochtoon,Man,"[0,20)",Overig,Man,"[60,70)",580
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[0,20)",152890
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[20,30)",17170
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[30,40)",3370
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[40,50)",1570
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[50,60)",1130
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[60,70)",320
Autochtoon,Man,"[0,20)",Surinaams,Man,"[0,20)",31040
Autochtoon,Man,"[0,20)",Surinaams,Man,"[20,30)",3930
Autochtoon,Man,"[0,20)",Surinaams,Man,"[30,40)",1210
Autochtoon,Man,"[0,20)",Surinaams,Man,"[40,50)",520
