lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,1,54640
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,2,1680
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,3,10
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,1,180
"[0,20)",Autochtoon,1,"[0,20)",Overig,1,650
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,1,650
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,2,20
"[0,20)",Autochtoon,1,"[0,20)",Turks,1,90
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,1,710
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,2,2210
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,3,700
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,1,170
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,2,730
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,3,230
"[0,20)",Autochtoon,1,"[20,30)",Overig,1,210
"[0,20)",Autochtoon,1,"[20,30)",Overig,2,510
"[0,20)",Autochtoon,1,"[20,30)",Overig,3,180
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,1,380
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,2,1040
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,3,160
"[0,20)",Autochtoon,1,"[20,30)",Turks,1,140
"[0,20)",Autochtoon,1,"[20,30)",Turks,2,400
"[0,20)",Autochtoon,1,"[20,30)",Turks,3,130
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,1,1530
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,2,4450
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,3,18790
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,1,500
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,2,1640
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,3,1260
"[0,20)",Autochtoon,1,"[30,40)",Overig,1,560
"[0,20)",Autochtoon,1,"[30,40)",Overig,2,1330
